word,meaning,initial_status
aura,Coolness/Charisma/Presence,Peak
cooked,In trouble/exhausted/done for,Peak
crash out,To go crazy/lose temper,Niche
unc,Old person/uncle status,Peak
brainrot,Consuming low-quality viral content,Peak
404 coded,Clueless/lost/glitching,Niche
fanum tax,Taking food from friends,Peak
skibidi,Nonsense/Absurdist humor,Cringe
rizz,Ability to attract partners,Cringe
gyat,Exclamation of surprise/attraction,Cringe
sigma,Lone wolf/successful mindset,Cringe
mewing,Jawline exercise trend,Cringe
looksmaxxing,Improving appearance,Peak
lock in,Focus intensely,Peak
bop,Good song,Peak
glaze,Over-complimenting someone,Peak
yapping,Talking too much,Peak
gatekeep,Withholding information,Peak
simping,Desperate for attention,Cringe
opp,Opposition/Enemy,Niche
pookie,Cute nickname for friend/partner,Peak
stand on business,Commitment to words/actions,Peak
let him cook,Let someone do their thing,Peak
bet,Agreement/Yes,Peak
cap,Lie/Falsehood,Cringe
slay,Do something well,Cringe
period,Emphasis on a statement,Cringe
ick,Turn-off,Peak
delulu,Delusional,Peak
sus,Suspicious,Cringe
mid,Mediocre/Average,Peak
main character energy,Self-centered perspective,Peak
rent free,Obsessing over something,Peak
vibe check,Assessing the mood,Peak
caught in 4k,Caught red-handed with evidence,Peak
down bad,Desperately attracted/depressed,Peak
touch grass,Go outside/get perspective,Peak
npc,Non-playable character/generic person,Peak
sending me,Making me laugh hard,Peak
giving,Exuding a certain vibe,Peak
ate,Did something perfectly,Peak
slaps,Is really good (music/food),Peak
bussin,Delicious (food),Peak
valid,Acceptable/Reasonable,Peak
cheugy,Outdated/Trying too hard,Cringe
zesty,Effeminate/Flamboyant,Niche
finna,Going to,Peak
smh,Shaking my head,Peak
tbh,To be honest,Peak
rn,Right now,Peak
fr,For real,Peak
ong,On God (Swear/Truth),Peak
iykyk,If you know you know,Peak
fomo,Fear of missing out,Peak
yolo,You only live once,Cringe
yeet,To throw/discard,Cringe
oomf,One of my followers,Niche
moots,Mutual followers,Niche
w,Win/Success,Peak
l,Loss/Failure,Peak
ratio,More replies than likes (fail),Peak
based,Courageous/Unique opinion,Peak
cringe,Embarrassing/Awkward,Peak
shook,Shocked/Scared,Peak
salty,Bitter/Upset,Peak
ghosting,Ignoring someone suddenly,Peak
gaslighting,Manipulating reality,Peak
love bombing,Overwhelming affection,Peak
red flag,Warning sign,Peak
green flag,Positive sign,Peak
situationship,Undefined relationship,Peak
soft launch,Subtly revealing partner,Peak
hard launch,Revealing partner explicitly,Peak
orbiting,Lurking on social media,Peak
breadcrumbing,Giving minimum attention,Peak
benching,Keeping someone as backup,Peak
zombieing,Reappearing after ghosting,Peak
cuffing season,Winter relationship season,Peak
hot girl summer,Enjoying single life in summer,Peak
feral girl summer,Chaotic summer vibe,Peak
mob wife aesthetic,Glamorous/Bold fashion,Niche
coquette,Hyper-feminine aesthetic,Niche
cottagecore,Rural/Simple life aesthetic,Peak
dark academia,Scholarly/Gothic aesthetic,Peak
goblincore,Chaos/Nature aesthetic,Niche
normcore,Average/Unpretentious fashion,Peak
gorpcore,Hiking/Outdoor fashion,Niche
y2k,Early 2000s fashion,Peak
old money,Wealthy/Classic aesthetic,Peak
quiet luxury,Understated expensive fashion,Peak
dopamine dressing,Wearing colors for mood,Niche
barbiecore,Pink/Doll-like aesthetic,Cringe
tomato girl,Mediterranean summer vibe,Niche
rat girl,Embracing messiness,Niche
vanilla girl,Minimalist/Neutral aesthetic,Peak
clean girl,Polished/Natural aesthetic,Peak
that girl,Productive/Healthy lifestyle,Peak
pick me,Seeking male validation,Peak
karen,Entitled woman,Cringe
chad,Alpha male,Peak
stacy,Attractive female,Peak
becky,Basic female,Peak
scarn,Food,Niche
bruv,Brother/Mate,Peak
innit,Isn't it,Peak
peng,Attractive/Good,Peak
roadman,Subculture associated with drill,Peak
wagwan,What's going on,Peak
mandem,Group of male friends,Peak
wasteman,Useless person,Peak
bare,Very/A lot,Peak
allow it,Let it happen/Stop it,Peak
bait,Obvious,Peak
long,Tedious/Time consuming,Peak
peak,Unfortunate/Bad (UK) or Top (US),Peak
gassed,Excited/Ego-boosted,Peak
jarring,Annoying,Peak
mugged off,Disrespected,Peak
pie off,Reject someone,Niche
chirpse,Flirt with,Niche
ends,Neighborhood,Peak
yard,Home,Peak
garm,Clothing,Niche
creps,Sneakers,Niche
boujee,Fancy/Expensive,Peak
degen,Degenerate (crypto/gambling),Niche
diamond hands,Holding assets,Peak
paper hands,Selling assets,Peak
hodl,Hold on for dear life,Peak
to the moon,Price going up,Peak
rug pull,Scam,Peak
ngmi,Not gonna make it,Peak
wgmi,We gonna make it,Peak
fud,Fear Uncertainty Doubt,Peak
shill,Promote for gain,Peak
bagholder,Holding losing asset,Peak
cope,Coping mechanism,Peak
seethe,Internal anger,Peak
mald,Mad + Bald (Gamers),Peak
touch grass,Go outside,Peak
skill issue,User error/Incompetence,Peak
diff,Difference in skill,Peak
inting,Feeding/Playing bad,Peak
smurf,High level player on low account,Peak
